summary,mask_perimeter,mask_area,mask_compactness,mask_convexity,mask_solidity,bending_energy,total_abs_curv,nearest_boundary_score_slope,nearest_boundary_score_err,convex_overlap,surroundedness_degree,case
75%,299.0089253485203,1030.5,0.27553017117791956,0.7215633589451118,0.7232604385665427,4.219055424157061,1.2229711550974394,172.8144776242876,23.97952581246153,0.05061976101301944,0.754394430255584,6
max,700.3645666837692,2741.0,0.655465325717616,0.9200414768467988,0.9692496924969249,6.608682315899337,1.6601530040676602,278.0203877481899,67.78594073575024,0.26153846153846155,0.8116902097686662,6
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7
mean,451.5816837644577,2811.32,0.25297527287807553,0.679213104215522,0.6571532017615275,3.10521441932269,0.9799464410794352,377.37093003470983,61.16167537937189,0.01815561546372321,0.22775072356450224,7
std,1441.2207067496927,13449.531609042237,0.14520553292640836,0.15028645391660436,0.13724005858535646,1.0298066013677374,0.18351045851139522,148.46806574515833,79.97267279234337,0.06604499658926179,0.3379489140048545,7
min,75.01219260692596,310.0,0.008414962913121219,0.1609593149245318,0.3309931506849315,0.7805044296779851,0.5254424332588563,77.30957310385654,0.3670379056227045,0.0,0.0,7
25%,133.01397767663002,408.0,0.16675583969332064,0.6061955005540475,0.5742186460965554,2.458021704515851,0.8665008790861001,293.0548805419542,23.95344971767942,0.0,0.0,7
50%,186.6518018245697,650.5,0.2336594236497753,0.6908497838096948,0.6559742765273312,3.032856501479868,0.9901009731473884,348.74006411483936,34.19634022342221,0.0,0.0,7
75%,290.48811027407646,1253.75,0.31810816876358583,0.7825665719444759,0.7485,3.8457617403105235,1.1000389822189538,479.53894372635386,53.600609958004426,0.007552039149983034,0.7221655542794752,7
max,14068.115584850311,132530.0,0.8020257261848485,0.9297549940569605,1.0333333333333334,5.990301560105623,1.4835298641951802,798.2115540030744,422.38043441243815,0.5724465558194775,0.783042320012125,7
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8
mean,138.20504536747933,276.24,0.21322970849419146,0.6459006618226091,0.6357746731652789,4.065860408116297,1.282278194694856,132.1337448720205,9.523119333825296,0.08043011007257657,0.19117691764198466,8
std,77.05159291609216,198.15798818828443,0.0968894391530035,0.09469304888715262,0.1218059230124237,0.9545827130636968,0.18710201212588057,129.79637288292335,12.269044540865442,0.09717541803387915,0.32717079272893684,8
min,61.11269783973694,149.0,0.053217439511284055,0.4242930798098621,0.3771626297577855,1.9644308759860551,0.8578964554033666,45.17677493694359,0.4600815331747175,0.0,0.0,8
25%,93.09366783499718,174.0,0.15094955377992889,0.5732735153466941,0.5320608178232893,3.4018062557283506,1.151816815897042,64.39439259111391,3.3320775609742386,0.0061089195704580315,0.0,8
50%,117.41778367757797,216.0,0.19842132275071317,0.6410255131266208,0.6419637432198053,3.949649380289423,1.2827970002626008,86.44102428002415,5.143069477708205,0.04940425531914894,0.0,8
75%,146.30255967378616,290.5,0.24845170551252355,0.7187483943262925,0.7208717649106233,4.675263452268713,1.3979793151859075,130.40663541928762,10.910305558752071,0.125,0.41061975317709,8
max,520.8843377828598,1546.0,0.6123762508767625,0.8803863570113593,0.9251439539347409,7.209852139774282,1.8325957145940455,622.2064385487303,87.75314135601752,0.44329896907216493,0.7639437268410976,8
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9
mean,244.72559364795686,2291.53,0.4536686488972274,0.7955967042297736,0.8533798023966915,3.0669618183880245,0.9465153530965223,297.9678283845099,52.105258320013526,0.17747386911956764,0.15789761904146937,9
std,442.48652991105047,5848.58995258125,0.22505783959470513,0.14730897121592446,0.175878148112951,1.5187194274680857,0.3060035027318543,236.34390418591775,61.532510499758416,0.2788274295179598,0.3036795632557687,9
min,28.727921843528748,63.0,0.03859521816632013,0.3189242818222646,0.4974752893046675,0.41908148458824085,0.29377488554561043,61.980469556234354,0.32476167804239114,0.0,0.0,9
25%,52.577163994312286,95.25,0.26767351252358373,0.7188297906740762,0.74680464778504,1.9490385520490836,0.7193108179384098,91.09706335021414,3.9411126030865486,0.0,0.0,9
50%,96.08326029777527,242.0,0.4466343200047792,0.8359552777593563,0.8523064391665952,2.8744563085258243,0.9255550316794989,211.74759874796962,31.744419483265034,0.0,0.0,9
75%,234.42997628450394,1155.25,0.6330892713757713,0.9087609992575937,0.9842492339121552,3.8123782905758574,1.146307319434847,507.5263043486389,86.0664919481439,0.3090901650365899,0.0,9
max,2629.7698870897293,35547.0,0.9744990427090555,0.9756492177048808,1.2075471698113207,8.044755670679606,1.734420944169365,793.5553509689572,264.0914207888302,0.9459459459459459,0.8642113409889917,9
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10
mean,342.0532850432396,2227.53,0.34960401263081936,0.7315719772626678,0.773056562663176,3.754248459410054,1.1627574369155165,156.8064279205472,28.0634444724158,0.13513075104308325,0.09682986737710912,10
std,1479.1608132288447,14819.77029597131,0.1983027975156907,0.16370113934067776,0.18738400770588204,1.4324419122700125,0.2740959549830694,129.19814552427346,47.22969367922502,0.21434804791238402,0.2506779506439381,10
min,31.79898953437805,68.0,0.0092485873098,0.15655259911818245,0.41244005231797704,1.1133395208545922,0.6187985529798078,52.423330022373314,0.40943992362017256,0.0,0.0,10
25%,54.662950456142426,97.75,0.22037621869620208,0.6491566497435373,0.6261923568832106,2.8118920805018957,0.9530648946073674,86.80017088605305,3.694506273213476,0.0,0.0,10
50%,78.96193999052048,170.5,0.314132919070323,0.7727660326999847,0.7669683257918551,3.5187574355977524,1.1016583842426066,105.83079814707094,9.01081902564151,0.03018018018018018,0.0,10
75%,143.40306490659714,404.5,0.4531083699349779,0.8396007748609888,0.9020794243712668,4.478693655421251,1.3466042099245559,154.31973534592797,23.10717059918952,0.1818972044770144,0.0,10
max,14114.97553741932,146631.0,0.9039522285675069,0.9691753556817766,1.1654676258992807,8.041899882369105,1.9761631208064827,556.5782961701293,201.77577213548042,0.926829268292683,0.9692536034296426,10
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13
mean,372.32921766161917,1612.64,0.18974158423613677,0.5994939633412634,0.6219590552813968,3.3297589297137606,1.0624719592034133,506.14285431721567,46.05837574626824,0.014236150651755439,0.1981001576664821,13
std,694.0871179390643,4638.097721604356,0.10243076991089853,0.1246837466021611,0.10993559290996714,0.8440454500114303,0.1681679329740878,288.70273341454595,43.67822433837152,0.03863317583130382,0.3288245575491872,13
min,91.25483322143555,384.0,0.013721620943398238,0.18506334496705745,0.384770211338477,1.1066107949713881,0.5880619414382904,110.37825083190013,0.34297836821565225,0.0,0.0,13
25%,173.19164690375328,499.0,0.12406428836026245,0.5356118620196191,0.5535664954090648,2.7717546792675067,0.9665496438362016,237.1415813396762,18.13009387870354,0.0,0.0,13
