summary,whole_brain_area,whole_tumor_area,invasion_count_cnt,invasion_count_min_area,invasion_count_max_area,invasion_count_med_area,delaunay_score_min,delaunay_score_quartile1,delaunay_score_median,delaunay_score_quartile3,delaunay_score_max,tumor_components_cnt,tumor_components_min_area,tumor_components_max_area,tumor_components_med_area,interface_ellipse_eccent_quants_0.1,interface_ellipse_eccent_quants_0.5,interface_ellipse_eccent_quants_0.9,interface_ellipse_area_quants_0.1,interface_ellipse_area_quants_0.5,interface_ellipse_area_quants_0.9,cooccurrence_mat_0,cooccurrence_mat_1,cooccurrence_mat_2,cooccurrence_mat_3,cooccurrence_mat_4,cooccurrence_mat_5,cooccurrence_mat_6,brain_compactness,brain_convexity,brain_solidity,convex_overlap,filled_overlap_cnt,filled_overlap_min_area,filled_overlap_max_area,filled_overlap_med_area,case
count,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,5
mean,730695.4033131873,191716.81008290776,2.0444444444444443,5.675204926848219,6.876962194725581,6.145260657551352,117.43213748493594,192.71333133471146,290.23223472792705,403.0328756818388,1007.1930653316326,38.644444444444446,99.77891161882296,5123.621793802269,314.34233557679005,0.0034363771891304843,0.005680448861499199,0.012388517702809227,374.5262379636321,1169.1291062411246,4567.51522701429,0.17593412485819085,0.06817414892677223,0.04974631360763498,0.039377200493685996,0.07773095062823969,0.07075665583453729,0.5182806056509389,0.07625712584430455,0.3572932665021187,0.6366777067897723,0.11725810232363011,17.488888888888887,127.15221430221008,396.9260572391738,172.09257999549186,5
std,624884.6896564661,310518.5202453416,2.4675674031095665,6.923736229547198,8.354383088564134,7.392956650097578,388.3733171772229,393.32292677230265,434.47576412299316,460.7930532671973,565.2072269162468,36.67433804047553,370.5105860425454,7842.760640547347,405.7390137458167,0.0011220016972255669,0.0012853503972474415,0.005444740524217216,509.9700679111783,887.2175683146166,6445.1903818655155,0.12940954781491437,0.040925029170077426,0.04163493975967338,0.022694001328864573,0.046071469115890454,0.038143115049775606,0.23189932861970258,0.06817280455621898,0.12591776750168776,0.1183354991697959,0.168397479453129,19.337460374552126,101.24674314258951,334.72324438439335,128.67654596842993,5
min,5845.803932668762,221.6953389698275,0.0,0.0,0.0,0.0,4.1107001304626465,19.44205665588379,36.0604133605957,41.55538558959961,199.24493408203125,1.0,0.12461854198115009,21.481513879490183,2.046781010942503,0.0012893352087489604,0.003429046355485836,0.004417706102593407,4.789121984774754,10.69834474688596,27.75432956408757,0.011461318051575931,0.0,0.0,0.0,0.0136986301369863,0.00684931506849315,0.10388945752302968,0.00432142850056102,0.10548330670012639,0.41972970303301177,0.00027687062802931494,0.0,0.0,0.0,0.0,5
25%,239279.2783418541,15546.67157017124,0.0,0.0,0.0,0.0,25.108009338378906,61.67972946166992,101.31455993652344,145.3586654663086,484.7035827636719,10.0,15.722054736451202,815.0848952005234,133.31919518105505,0.0027579251790109676,0.004802610315062617,0.008238348998891303,109.84584677949886,693.0129275430029,1606.8839835579918,0.08577405857740586,0.03305785123966942,0.015873015873015872,0.023195876288659795,0.04627249357326478,0.04721030042918455,0.35807860262008734,0.032166818456529855,0.26455631648049177,0.5586321551980228,0.010057511548173494,5.0,8.970230609490127,47.74347080408337,12.396525427243688,5
50%,632509.248934074,50847.72370441649,1.0,0.5629739545301188,0.8662564011730004,0.7378784840928742,31.47951316833496,89.0007553100586,138.8857650756836,231.5791015625,1061.8822021484375,28.0,24.81745830299322,1961.5203809508932,233.8168388284623,0.00360688108712353,0.00539672487956956,0.011809095871342426,197.8802498844734,1038.2493732906933,2913.143810313227,0.14377682403433475,0.06906906906906907,0.04603580562659847,0.03577661431064572,0.0704,0.07112970711297072,0.4892018779342723,0.056768227753413045,0.34280470534641816,0.6419487538587156,0.035314260995944875,13.0,154.7983988491139,372.81063562299175,206.76227129935296,5
75%,1073813.4461975542,156718.2163749205,4.0,13.253302339818369,14.398898931412132,14.072581713555811,42.19123458862305,117.25178527832031,199.02536010742188,449.71026611328125,1340.2381591796875,64.0,74.95317251967958,5909.959030581315,377.45924801149374,0.004337408605723219,0.006577396844010271,0.01508214052567404,390.3756467767795,1504.6396185793797,4801.194501564871,0.2854855923159018,0.10135135135135136,0.07667731629392971,0.05131004366812227,0.10425531914893617,0.0947867298578199,0.7208588957055214,0.08919367635403752,0.42754333764169866,0.7113162673661108,0.14687491339469746,21.0,179.5692532708724,570.8036652937024,254.59834346230528,5
max,2770974.986079238,1147859.9294322822,8.0,20.0203868703881,25.72699865964742,20.0203868703881,2025.0935214720637,2025.0935214720637,2025.0935214720637,2025.0935214720637,2149.34423828125,170.0,2515.041928350755,31933.182316109032,2515.041928350755,0.005863710141154035,0.009296570553940547,0.032035775056657424,2334.387299087675,4616.631948871731,36176.87673188521,0.5340314136125655,0.1414881623449831,0.1957142857142857,0.10743801652892562,0.22388059701492538,0.14543404735062007,0.9171382376717866,0.287956828505659,0.6493189704326562,0.8786104579748494,0.6579296982171257,80.0,411.84987218664895,1218.6541435799654,442.0937072932279,5
count,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,6
mean,146493.93592031443,634759.1980245155,1.5769230769230769,5.051108167875503,5.494297033454639,5.181604523036866,123.45427781801958,178.6483654792492,233.3452939253587,328.32482836796686,1042.6487180269683,68.26923076923077,13.733742760093405,6519.27296081549,167.07419097510098,0.0031937838315945826,0.005856586356260516,0.013397109315762018,151.14902895077773,735.9960362327946,2424.806409670483,0.4066611560619461,0.09962295971449721,0.09532397452011952,0.04948013618837343,0.06363282538145237,0.0972864099259188,0.1879925382076926,0.06169383472099762,0.43070345852411285,0.49363720708008246,0.2476084697923958,16.423076923076923,85.915552053169,258.51676125019736,116.30766250563231,6
