feature,domin_s,high_s,total
invasion_count_max_area_50%,0.49877444503870794,0.8648555220161891,0.2370713517583165
invasion_count_max_area_75%,0.3456330041371242,0.08738513508804278,0.1630727748480255
invasion_count_max_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
invasion_count_max_area_max,0.718350710134268,0.07449840029911851,0.4681741726645119
invasion_count_max_area_mean,0.5494300455457615,0.06647419154441002,0.1281069300254252
invasion_count_max_area_min,0.05293375069856542,0.5942369853292918,0.24404955068496956
invasion_count_max_area_std,0.8395435738778083,0.037840817896001196,0.3080299407923254
invasion_count_med_area_25%,0.6506820282344475,0.43032064149499316,0.277943894611165
invasion_count_med_area_50%,0.45420642176104076,0.7155009828924829,0.21725711468456577
invasion_count_med_area_75%,0.2627401705036813,0.05389036957900019,0.13132529529530895
invasion_count_med_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
invasion_count_med_area_max,0.9705298801367681,0.06897116237495067,0.3250489818811937
invasion_count_med_area_mean,0.41104950643192695,0.043438201269581936,0.12428396566555562
invasion_count_med_area_min,0.05293375069856542,0.5942369853292918,0.24404955068496956
invasion_count_med_area_std,0.6140164575246356,0.03280336189986771,0.29793262939031845
invasion_count_min_area_25%,0.7243365171051818,0.422724353196037,0.2755931593280023
invasion_count_min_area_50%,0.4509772256770969,0.6442812948881201,0.22459480945540822
invasion_count_min_area_75%,0.2476216981867432,0.04965001726666611,0.13903941456605587
invasion_count_min_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
invasion_count_min_area_max,0.6325503827524002,0.050329235662720684,0.22827770898694585
invasion_count_min_area_mean,0.3610072258574463,0.0368775037139681,0.13022734918635848
invasion_count_min_area_min,0.052933750698565596,0.5942369853292918,0.2440495506849703
invasion_count_min_area_std,0.5077122202003709,0.028699191006443758,0.29372497394531527
tumor_components_cnt_25%,0.25920858061255686,0.39769537258089077,0.421078884790271
tumor_components_cnt_50%,0.4196122111692324,0.36465023937292407,0.2888439024456477
tumor_components_cnt_75%,0.7672762666944579,0.5140380862908952,0.6170784855668422
tumor_components_cnt_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
tumor_components_cnt_max,0.05306337208724249,0.2875271701828825,0.06708200177162414
tumor_components_cnt_mean,0.9056627716074922,0.2640617987825336,0.9775925648806368
tumor_components_cnt_min,0.03563459521460767,0.45848040526070133,0.20076067014658452
tumor_components_cnt_std,0.08202308246309066,0.30145418576752425,0.049800823834436764
tumor_components_max_area_25%,0.7427093123906522,0.3682069404012878,0.10137462519364178
tumor_components_max_area_50%,0.5708122377209348,0.132106639470542,0.07736167690579863
tumor_components_max_area_75%,0.39579575808705514,0.21335709335932299,0.07566891114315348
tumor_components_max_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
tumor_components_max_area_max,0.7461165379746619,0.3423911027267093,0.020758045359361238
tumor_components_max_area_mean,0.5424691340648623,0.20361698253547303,0.047151468818102324
tumor_components_max_area_min,0.38556790784250894,0.5580081654558505,0.11469421416208354
tumor_components_max_area_std,0.6157451550641608,0.32450234277689044,0.029885115268999552
tumor_components_med_area_25%,0.9016761683198032,0.11873514903537545,0.3999673064523567
tumor_components_med_area_50%,0.83048355254533,0.09717262001366218,0.18630381749183345
tumor_components_med_area_75%,0.85849422744225,0.14984704411441135,0.08400283679572233
tumor_components_med_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
tumor_components_med_area_max,0.9940294455119335,0.2945087805685901,0.27559822720655547
tumor_components_med_area_mean,0.901633793451112,0.18527426490954016,0.18395016122892896
tumor_components_med_area_min,0.5315542994456371,0.6240392634152494,0.34655131179904697
tumor_components_med_area_std,0.9823011062597573,0.4362552142810029,0.22507355048887487
tumor_components_min_area_25%,0.9857639807994548,0.09617864797985858,0.7716211342877614
tumor_components_min_area_50%,0.9008345754144549,0.0843135941327269,0.3399284360794358
tumor_components_min_area_75%,0.810665868357077,0.05218431936416434,0.41171033398085405
tumor_components_min_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
tumor_components_min_area_max,0.8444095964585994,0.756502263398605,0.18251141207598592
tumor_components_min_area_mean,0.9791770795808771,0.411036933949994,0.3126434379977658
tumor_components_min_area_min,0.7292407133064965,0.8906231902992696,0.659002362832193
tumor_components_min_area_std,0.8954124038855178,0.8923382328909515,0.22040895636162822
whole_brain_area_25%,0.7283052027716533,0.09231833077990428,0.9433432914189015
whole_brain_area_50%,0.6244845566739954,0.06559537612271066,0.6518794070726431
whole_brain_area_75%,0.5765054645864479,0.027319673954963816,0.6103532187287664
whole_brain_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
whole_brain_area_max,0.7642049627302501,0.03296724274908981,0.5458843210957023
whole_brain_area_mean,0.7220993988042183,0.034254056171069844,0.7283016368901539
whole_brain_area_min,0.329696570746824,0.2968856351596269,0.4963882599905949
whole_brain_area_std,0.9788480298797035,0.02194927241519776,0.681405772750352
whole_tumor_area_25%,0.877201904351697,0.76655113480095,0.43838278743559417
whole_tumor_area_50%,0.4973012785508258,0.38501803688477254,0.3238491399790405
whole_tumor_area_75%,0.8238270116414205,0.1347572778716767,0.3292773486690855
whole_tumor_area_count,0.6174151371990693,0.7225669214495901,0.6042872677281855
whole_tumor_area_max,0.8201643768290815,0.10124442271893602,0.8679697401693867
whole_tumor_area_mean,0.964130113742098,0.1823154625878912,0.540234853852104
whole_tumor_area_min,0.6257366664895315,0.28706517388284836,0.3007096156461818
whole_tumor_area_std,0.7754859564274814,0.07708567334547371,0.8170270582687824
